itemID,itemName,toScan,replacementPacket,packetWorks
80,Dolch der Qual,0,0,1
81,Edler Dolch,0,0,1
82,Meisterhafter Dolch,0,0,1
83,Messingdolch,0,0,1
84,Rubindolch,0,0,1
85,Dolch des Geistes,0,0,1
86,Anfängerzauberwaffe,0,0,1
87,Kleine Zauberwaffe,0,0,1
88,Magische Zauberwaffe,0,0,1
89,Goldene Zauberwaffe,0,0,1
90,Meisterhafte Zauberwaffe,0,0,1
91,Messingzauberwaffe,0,0,1
92,Edelmütige Zauberwaffe,0,0,1
93,Zauberwaffe des Schattens,0,0,1
94,Rüstung für angehende Schwertkämpfer,0,0,1
95,Gepolsterte Rüstung,0,0,1
96,Steppstoffrüstung,0,0,1
97,Lederrüstung,0,0,1
98,Rüstung der Ausdauer,0,0,1
99,Bolzen-Lederrüstung,0,0,1
100,Verstärkte Lederrüstung,0,0,1
101,Schuppenrüstung,0,0,1
102,Rüstung der Moral,0,0,1
103,Plattenrüstung,0,0,1
104,Goldene Nietenrüstung,0,0,1
105,Brigantine,0,0,1
106,Rüstung des Mutes,0,0,1
107,Tunika für angehende Bogenschützen,0,0,1
108,Lammledertunika,0,0,1
109,Velourstunika,0,0,1
110,Ziegenledertunika,0,0,1
111,Tunika des Meidens,0,0,1
112,Kalbsfelltunika,0,0,1
113,Wildledertunika,0,0,1
114,Rindsledertunika,0,0,1
115,Tunika des Adlerauges,0,0,1
116,Pekaritunika,0,0,1
117,Nubuktunika,0,0,1
118,Toskanatunika,0,0,1
119,Geistertunika,0,0,1
120,Gewand für angehende Magier,0,0,1
121,Baumwollgewand,0,0,1
122,Magisches Baumwollgewand,0,0,1
123,Leinengewand,0,0,1
124,Robe der Wiederherstellung,0,0,1
125,Tweedrobe,0,0,1
126,Verbessertes Leinengewand,0,0,1
127,Musselinrobe,0,0,1
128,Robe der Elemente,0,0,1
129,Seidengewand,0,0,1
130,Karierte Robe,0,0,1
131,Robe mit Fischgrätenmuster,0,0,1
132,Gewand der Finsternis,0,0,1
133,Mantel der alten Abenteurer,0,0,1
134,Kovoltmaske (Crew),0,0,1
135,Gladius,0,0,1
136,Wallonisches Schwert,0,0,1
137,Wikingersäbel,0,0,1
138,Entermesser,0,0,1
139,Katzbalger,0,0,1
140,Ritterschwert,0,0,1
141,Totschläger,0,0,1
142,Bogen des Lebens,0,0,1
143,Flammenbogen,0,0,1
144,Synthetischer Bogen,0,0,1
145,Doppelbogen,0,0,1
146,Wilder Bogen,0,0,1
147,Großer Bogen,0,0,1
148,Belagerungsbogen,0,0,1
149,Zauberstab des Lebens,0,0,1
150,Flammenzauberstab,0,0,1
151,Eisige Zauberrute,0,0,1
152,Loons Zauberrute,0,0,1
153,Zauberstab,0,0,1
154,Heiliger Zauberstab,0,0,1
155,Zauberstab der Seele,0,0,1
156,Kampfarmbrust,0,0,1
157,Belagerungsarmbrust,0,0,1
158,Highlanderdolch,0,0,1
159,Poignard-Dolch,0,0,1
160,Normale Zauberwaffe,0,0,1
161,Bronzene Zauberwaffe,0,0,1
162,Sicherheitsrüstung,0,0,1
163,Harte Lederrüstung,0,0,1
164,Rüstung des Siegers,0,0,1
165,Rüstung des Beschützers,0,0,1
166,Ritterrüstung,0,0,1
167,Steinrüstung,0,0,1
168,Blitztunika,0,0,1
169,Naturtunika,0,0,1
170,Hailedertunika,0,0,1
171,Atemtunika,0,0,1
172,Windtunika,0,0,1
173,Dryadentunika,0,0,1
174,Anfängergewand,0,0,1
175,Weiche Robe,0,0,1
176,Gewand der Klarheit,0,0,1
177,Gemusterte Robe,0,0,1
178,Zaubergewand,0,0,1
179,Gewand der Quelle,0,0,1
8001,Amulett des Angriffslevels,0,0,1
8002,Amulett des Verteidigungslevels,0,0,1
8003,Amulett des Angriff- und Verteidigungslevels,0,0,1
183,Amulett der Angriffskraft,0,0,1
184,Amulett der Verteidigung,0,0,1
185,Meister Hatus' Geschenkbox,0,0,1
186,Schicker Männerhut (30 Tage),0,0,1
187,Schicker Männeranzug (30 Tage),0,0,1
188,Schicker Männeranzug (7 Tage),0,0,1
189,Schicker Männeranzug (unbegrenzt),0,0,1
190,Schicker Männerhut (7 Tage),0,0,1
191,Schicker Männerhut (unbegrenzt),0,0,1
192,Samurai Buschi,0,0,1
193,Starlight-Schuluniform (7 Tage),0,0,1
194,Starlight-Schuluniform (30 Tage),0,0,1
195,Starlight-Schuluniform (unbegrenzt),0,0,1
196,Starlight-Haarband (7 Tage),0,0,1
197,Starlight-Haarband (30 Tage),0,0,1
198,Starlight-Haarband (unbegrenzt),0,0,1
199,Hatus' Schattenlanze,0,0,1
200,Haarreif,0,0,1
201,Weicher Hut,0,0,1
202,Blätter zur Tarnung,0,0,1
203,Mandra-Ohrenschützer,0,0,1
204,Flusspferdhut,0,0,1
229,Trendige Brille,0,0,1
206,Kovoltmaske,0,0,1
215,Geweihhut,0,0,1
216,Pümpelhut,0,0,1
217,Haarschmuck,0,0,1
218,Fühler,0,0,1
219,Stirnband des Orakels,0,0,1
220,Funny Fish-Hut,0,0,1
221,Scheitelkäppchen,0,0,1
222,Wasserbüffelhorn,0,0,1
238,Rechteckige Brille,0,0,1
224,Zwinkernde Maske,0,0,1
225,Schlägermaske,0,0,1
247,Monokel,0,0,1
227,X-Maske,0,0,1
228,Bart und Makeup,0,0,1
248,Amulett des Blockierens sämtlicher Angriffe,0,0,1
249,Amulett des Feuerelements,0,0,1
250,Amulett des Wasserelements,0,0,1
251,Amulett des Lichtelements,0,0,1
252,Amulett des Schattenelements,0,0,1
253,Amulett zur Steigerung der dunklen Energie,0,0,1
254,Hüpfendes Chicky,0,0,1
255,Tanzendes Chicky,0,0,1
256,Grimmiges Chicky,0,0,1
257,Amulett des Wettschutzes (Waffe),1,0,0
258,Amulett des Wettschutzes (Ausrüstung),1,0,0
259,Amulett für den Aufstieg des seltenen Levels,0,0,1
260,Amulett für die Verstärkung einer Waffe mit fixiertem Level,0,0,1
261,Amulett der Rüstungsverstärkung,0,0,1
262,Elvins Schwert,0,0,1
263,Glorreicher Säbel,0,0,1
264,Abgebrochenes Elementarschwert,0,0,1
265,Roter Bogen,0,0,1
266,Bogen des Friedens,0,0,1
267,Majestätischer Bogen,0,0,1
268,Legendärer Zauberstab,0,0,1
269,Zauberrute des Geistes,0,0,1
270,Majestätischer Zauberstab,0,0,1
271,Blaues Gewand des Weisen,0,0,1
272,Testrobe,0,0,1
8004,Solaris,0,0,1
8005,Sellaim,1,0,0
8006,Woondine,1,0,0
8007,Eperial,1,0,0
8008,Turik,1,0,0
8009,Große Sellaim,1,0,0
8010,Große Woondine,1,0,0
8011,Große Eperial,1,0,0
8012,Große Turik,1,0,0
282,Amulett des Segens,1,0,1
283,Amulett des Schutzes,1,0,1
284,Amulett der Verstärkung,1,0,1
285,Haustierperle,1,0,1
286,Partnerperle,1,0,1
287,Spezialistenkartenhalter,1,0,1
288,Amulett der NosMall-Eröffnung,1,0,0
289,Scrammer,0,0,1
290,Kris,0,0,1
291,Winslet-Armbrust,0,0,1
292,Balenty-Armbrust,0,0,1
293,Plaz-Zauberwaffe,0,0,1
294,Zauberwaffe des Lichts,0,0,1
295,Wächterblick,0,0,1
296,Lichttunika,0,0,1
297,Tapferer Verteidiger,0,0,1
298,Großartiger Verteidiger,0,0,1
299,Flamberge,0,0,1
300,Bogen der Macht,0,0,1
301,Kais Zauberstab,0,0,1
302,Raidbox,0,0,1
303,Edle Oriharconhalskette,0,0,1
304,Antike Oriharconhalskette,0,0,1
305,Edler Oriharconring,0,0,1
306,Antiker Oriharconring,0,0,1
307,Edler Oriharconarmreif,0,0,1
308,Antiker Oriharconarmreif,0,0,1
309,Antike Kristallhalskette,0,0,1
310,Antiker Kristallring,0,0,1
311,Antiker Kristallarmreif,0,0,1
312,Antike Diamanthalskette,0,0,1
313,Antiker Diamantring,0,0,1
314,Antiker Diamantarmreif,0,0,1
315,Flammenhandschuhe,0,0,1
316,Sturmhandschuhe,0,0,1
317,Gotteshandschuhe,1,0,1
318,Todeshandschuhe,1,0,1
319,Feuerschuhe,1,0,1
320,Wellenschuhe,1,0,1
321,Schuhe des Leuchtens,1,0,1
322,Schattenschuhe,1,0,1
323,Radals roter Ring,1,0,1
324,Radals blauer Ring,1,0,1
325,Unlösliche Handschuhe,0,0,1
326,Wächterschwert,0,0,1
327,Gewöhnliche Halskette,0,0,1
328,Seltener Dolch,0,0,1
329,Seltenes Schwert,0,0,1
330,Seltener Zauberstab,0,0,1
331,Halsband eines Höllenhundes,0,0,1
332,Amulett des Phantoms,0,0,1
333,Versiegelte Jajamaru-Spezialistenkarte,0,0,1
334,Versiegelte Perle mit Sakura,0,0,1
335,Sakura,0,0,1
336,N.O.S.-Eventtruhe,0,0,1
8013,Katzenhut,0,0,1
8014,Eselhut,0,0,1
8015,Cowboyhut,0,0,1
8016,Affenhut,1,0,0
8017,Antilopenhut,0,0,1
8018,Trichterwindenhut,0,0,1
8019,Pinguinhut,0,0,1
8020,Alter Zylinder,0,0,1
8021,Ohrenhaarreif,0,0,1
8022,Blumentopfhut,0,0,1
347,Rote Maske,0,0,1
8023,Grasslinfee,0,0,1
349,Zorn des Plexson,0,0,1
350,Schiavona,0,0,1
351,Helden-Scrammer,0,0,1
352,Heldenarmbrust,0,0,1
353,Bogen der Elemente,0,0,1
354,Bogen der Zerstörung,0,0,1
355,Heldenhafte Zauberwaffe,0,0,1
356,Seraphen-Zauberrute,0,0,1
357,Teracen-Zauberstab,0,0,1
358,Neue Rüstung (Magisch),0,0,1
359,Neues Rüstung (Distanz),0,0,1
360,Neue Rüstung (Physisch),0,0,1
8024,Grimmige Maske A,0,0,1
8025,Grimmige Maske B,0,0,1
8026,Grimmige Maske C,0,0,1
3115,NotUse,0,0,1
8027,Stille Maske A,0,0,1
8028,Stille Maske B,0,0,1
8029,Stille Maske C,0,0,1
8030,Augenbinde des Abgrunds A,0,0,1
8031,Augenbinde des Abgrunds B,0,0,1
8032,Augenbinde des Abgrunds C,0,0,1
376,Glänzende Kampfhandschuhe,0,0,1
377,Glänzende Kettenhandschuhe,1,0,1
378,Glänzende schnelle Handschuhe,1,0,1
379,Glänzende Handschuhe der Resistenz,1,0,1
380,Glänzende Sturmhandschuhe,1,0,1
381,Glänzende Flammenhandschuhe,1,0,1
382,Glänzende Gotteshandschuhe,1,0,1
383,Glänzende Todeshandschuhe,1,0,1
384,Glänzende Schutzstiefel,1,0,1
385,Glänzende schwere Metallstiefel,1,0,1
386,Glänzende Windstiefel,1,0,1
387,Glänzende Stahlstiefel,1,0,1
388,Glänzende Wellenschuhe,1,0,1
389,Glänzende Feuerschuhe,1,0,1
390,Glänzende Schuhe des Leuchtens,1,0,1
391,Glänzende Schattenschuhe,1,0,1
392,Schatztruhe (Stufe 1),0,0,1
393,Schatztruhe (Stufe 2),0,0,1
394,Schatztruhe (Stufe 3),0,0,1
395,Schatztruhe (Stufe 4),0,0,1
396,Schatztruhe (Stufe 5),0,0,1
8033,Braunes Buschi,0,0,1
8034,Gladiator Buschi,0,0,1
8035,Kammerjäger Buschi,0,0,1
400,Loopuster,0,0,1
401,Zerbrochenes Schwert,0,0,1
402,Bergarce,0,0,1
403,Seraphion,0,0,1
404,Caiperu,0,0,1
405,Ecaracci,0,0,1
406,Lord Mukrajus Zauberstab,0,0,1
407,Aurelius' Stab,0,0,1
408,Renobir,0,0,1
409,Cailander,0,0,1
410,Suphirudin,0,0,1
411,Ridyarce,0,0,1
412,Roob'raphs Handschuhe,0,0,1
413,Handschuhe des Vollstreckers,0,0,1
414,Nebelpolsterschuhe,0,0,1
415,Kuru'kelronstiefel,0,0,1
416,Diareasons Halskette,0,0,1
417,Rudiselruns Halskette,0,0,1
418,Kedenoss' Halskette,0,0,1
419,Diareasons Ring,0,0,1
420,Rudiselruns Ring,0,0,1
421,Kedenoss' Ring,0,0,1
422,Diareasons Armreif,0,0,1
423,Rudiselruns Armreif,0,0,1
424,Kedenoss' Armreif,0,0,1
8036,Azuris,0,0,1
8037,Ritterhelm,0,0,1
8038,Rittermaske,0,0,1
8039,Perücke,0,0,1
8336,Stachelperücke,0,0,1
430,Braunes Buschi (Japan),0,0,1
431,Kammerjäger Buschi (Japan),0,0,1
432,Grimmige Maske A (Japan),0,0,1
433,Grimmige Maske B (Japan),0,0,1
434,Grimmige Maske C (Japan),0,0,1
435,Augenbinde des Abgrunds A (Japan),0,0,1
436,Augenbinde des Abgrunds B (Japan),0,0,1
437,Augenbinde des Abgrunds C (Japan),0,0,1
438,Stille Maske A (Japan),0,0,1
439,Stille Maske B (Japan),0,0,1
440,Stille Maske C (Japan),0,0,1
8041,Bunte Perücke,0,0,1
8042,Seltene Stachelperücke,0,0,1
443,Braune Perücke,0,0,1
8043,Santa Buschi,0,0,1
445,Schneemann,0,0,1
8044,Pandahut (7 Tage),0,0,1
8045,Krankes Buschi,0,0,1
448,Neujahrsglücksschwein,0,0,1
449,Glückliche Ratte,0,0,1
8046,Kragenbärenkostüm (7 Tage),0,0,1
8047,Eisbärenkostüm (7 Tage),0,0,1
8048,Pandakostüm (7 Tage),0,0,1
8049,Teddybärenkostüm (7 Tage),0,0,1
8050,Kragenbärenhut (7 Tage),0,0,1
8051,Eisbärenhut (7 Tage),0,0,1
8052,Teddybärenhut (7 Tage),0,0,1
8053,Rattenhut (unbegrenzt),0,0,1
458,Hiphop-Outfit (7 Tage),0,0,1
459,Noirblack Sportoutfit (7 Tage),0,0,1
460,Sunny-Sportoutfit (7 Tage),0,0,1
461,Coralpink Sportoutfit (7 Tage),0,0,1
462,Flammen-Sportoutfit (7 Tage),0,0,1
463,Bluesky Sportoutfit (7 Tage),0,0,1
464,Fashion-Sportoutfit (7 Tage),0,0,1
465,Hotpink Sportoutfit (7 Tage),0,0,1
466,Jeansoutfit (7 Tage),0,0,1
467,Grüne Schuluniform (7 Tage),0,0,1
468,Militäroutfit (7 Tage),0,0,1
469,Gelbe Schuluniform (7 Tage),0,0,1
470,Försteroutfit (7 Tage),0,0,1
471,Lila Schuluniform (7 Tage),0,0,1
472,Feueroutfit (7 Tage),0,0,1
474,Heavy Metal-Outfit (7 Tage),0,0,1
476,Entdeckeroutfit (7 Tage),0,0,1
8054,Orangenhut (unbegrenzt),0,0,1
8055,Schicker Blumentopfhut (unbegrenzt),0,0,1
8056,Nussschalenhut (unbegrenzt),0,0,1
481,Blauer Gründerhut (unbegrenzt),0,0,1
482,Grüner Gründerhut (unbegrenzt),0,0,1
483,Roter Gründerhut (unbegrenzt),0,0,1
8057,Rattenhut (7 Tage),0,0,1
8058,Rattenhut (30 Tage),0,0,1
8059,Orangenhut (7 Tage),0,0,1
8060,Orangenhut (30 Tage),0,0,1
8061,Schicker Blumentopfhut (7 Tage),0,0,1
8062,Schicker Blumentopfhut (30 Tage),0,0,1
8063,Nussschalenhut (7 Tage),0,0,1
8064,Nussschalenhut (30 Tage),0,0,1
492,Blauer Gründerhut (7 Tage),0,0,1
493,Blauer Gründerhut (30 Tage),0,0,1
494,Grüner Gründerhut (7 Tage),0,0,1
495,Grüner Gründerhut (30 Tage),0,0,1
496,Roter Gründerhut (7 Tage),0,0,1
497,Roter Gründerhut (30 Tage),0,0,1
498,Amulett des Segens (2-mal benutzbar),0,0,1
499,Amulett des Schutzes (2-mal benutzbar),0,0,1
500,Einfache goldene Halskette,0,0,1
501,Veredelte goldene Halskette,0,0,1
502,Silberring,0,0,1
503,Modischer Armreif,0,0,1
504,Antike Manohalskette,0,0,1
505,Antiker Manoring,0,0,1
506,Antiker Manoarmreif,0,0,1
507,Edle Manohalskette,0,0,1
508,Edler Manoring,0,0,1
509,Edler Manoarmreif,0,0,1
510,Luxuriöser Manoarmreif,0,0,1
511,Katzenaugenhalskette,0,0,1
512,Katzenaugenring,0,0,1
513,Katzenaugenarmreif,0,0,1
514,Edle Katzenaugenhalskette,0,0,1
515,Edler Katzenaugenring,0,0,1
516,Edler Katzenaugenarmreif,0,0,1
517,Luxuriöse Katzenaugenhalskette,0,0,1
518,Luxuriöser Katzenaugenarmreif,0,0,1
519,Kristallhalskette,0,0,1
520,Kristallring,0,0,1
521,Kristallarmreif,0,0,1
522,Edle Kristallhalskette,0,0,1
523,Edler Kristallring,0,0,1
524,Edler Kristallarmreif,0,0,1
525,Luxuriöser Kristallring,0,0,1
526,Luxuriöser Kristallarmreif,0,0,1
527,Diamantenhalskette,0,0,1
528,Diamantring,0,0,1
529,Diamantenarmreif,0,0,1
530,Edle Diamanthalskette,0,0,1
531,Edler Diamantring,0,0,1
532,Edler Diamantarmreif,0,0,1
533,Luxuriöse Diamanthalskette,0,0,1
534,Luxuriöser Diamantenring,0,0,1
535,Luxuriöser Diamantenarmreif,0,0,1
8065,Amulett der Stärke,0,0,1
8066,Amulett der Entschlossenheit,0,0,1
8067,Eierfee,0,0,1
539,Kleiner Dander,0,0,1
540,Seedle,0,0,1
541,Pii,0,0,1
542,Schwacher Feuervampie,0,0,1
8278,Walker,0,0,1
544,Müdes rosa Jelly,0,0,1
545,Vampie,0,0,1
8277,Boing,0,0,1
547,Ayam (7 Tage),0,0,1
548,Ayam (30 Tage),0,0,1
549,Ayam (unbegrenzt),0,0,1
550,Kaiserinnenkrone (7 Tage),0,0,1
551,Kaiserinnenkrone (30 Tage),0,0,1
552,Kaiserinnenkrone (unbegrenzt),0,0,1
553,Blütenhaarnadel (7 Tage),0,0,1
554,Blütenhaarnadel (30 Tage),0,0,1
555,Blütenhaarnadel (unbegrenzt),0,0,1
556,Hogeon (7 Tage),0,0,1
557,Hogeon (30 Tage),0,0,1
558,Hogeon (unbegrenzt),0,0,1
559,Asiatischer Hut (7 Tage),0,0,1
560,Asiatischer Hut (30 Tage),0,0,1
561,Asiatischer Hut (unbegrenzt),0,0,1
562,Ebosi (7 Tage),0,0,1
563,Ebosi (30 Tage),0,0,1
564,Ebosi (unbegrenzt),0,0,1
567,Vollständige Muschel (Waffe),0,0,1
570,Besondere Muschel (Waffe),0,0,1
573,PvP-Muschel (Waffe),0,0,1
576,Perfekte Muschel (Waffe),0,0,1
579,Vollständige Muschel (Rüstung),0,0,1
582,Besondere Muschel (Rüstung),0,0,1
585,PvP-Muschel (Rüstung),0,0,1
588,Perfekte Muschel (Rüstung),0,0,1
598,Unvollständige Muschel (Waffe),0,0,1
664,Unvollständige Muschel (Rüstung),0,0,1
8272,Kragenbärenkostüm (30 Tage),0,0,1
8068,Eisbärenkostüm (30 Tage),0,0,1
8069,Pandakostüm (30 Tage),0,0,1
8070,Teddybärenkostüm (30 Tage),0,0,1
604,Hiphop-Outfit (30 Tage),0,0,1
605,Noirblack Sportoutfit (30 Tage),0,0,1
606,Sunny-Sportoutfit (30 Tage),0,0,1
607,Coralpink Sportoutfit (30 Tage),0,0,1
608,Flammen-Sportoutfit (30 Tage),0,0,1
609,Bluesky Sportoutfit (30 Tage),0,0,1
610,Fashion-Sportoutfit (30 Tage),0,0,1
611,Hotpink Sportoutfit (30 Tage),0,0,1
612,Jeansoutfit (30 Tage),0,0,1
613,Grüne Schuluniform (30 Tage),0,0,1
614,Militäroutfit (30 Tage),0,0,1
615,Gelbe Schuluniform (30 Tage),0,0,1
616,Försteroutfit (30 Tage),0,0,1
617,Lila Schuluniform (30 Tage),0,0,1
618,Feueroutfit (30 Tage),0,0,1
620,Heavy Metal-Outfit (30 Tage),0,0,1
622,Entdeckeroutfit (30 Tage),0,0,1
8071,Kragenbärenkostüm (unbegrenzt),0,0,1
8072,Eisbärenkostüm (unbegrenzt),0,0,1
8073,Pandakostüm (unbegrenzt),0,0,1
8074,Teddybärenkostüm (unbegrenzt),0,0,1
628,Hiphop-Outfit (unbegrenzt),0,0,1
629,Noirblack Sportoutfit (unbegrenzt),0,0,1
630,Sunny-Sportoutfit (unbegrenzt),0,0,1
631,Coralpink Sportoutfit (unbegrenzt),0,0,1
632,Flammen-Sportoutfit (unbegrenzt),0,0,1
633,Bluesky Sportoutfit (unbegrenzt),0,0,1
634,Fashion-Sportoutfit (unbegrenzt),0,0,1
635,Hotpink Sportoutfit (unbegrenzt),0,0,1
636,Jeansoutfit (unbegrenzt),0,0,1
637,Grüne Schuluniform (unbegrenzt),0,0,1
638,Militäroutfit (unbegrenzt),0,0,1
639,Gelbe Schuluniform (unbegrenzt),0,0,1
640,Försteroutfit (unbegrenzt),0,0,1
641,Lila Schuluniform (unbegrenzt),0,0,1
642,Feueroutfit (unbegrenzt),0,0,1
644,Heavy Metal-Outfit (unbegrenzt),0,0,1
646,Entdeckeroutfit (unbegrenzt),0,0,1
647,Lässige Kleidung für Frauen 6 (unbegrenzt),0,0,1
8075,Pandahut (30 Tage),0,0,1
8076,Kragenbärenhut (30 Tage),0,0,1
8077,Eisbärenhut (30 Tage),0,0,1
8078,Teddybärenhut (30 Tage),0,0,1
8079,Pandahut (unbegrenzt),0,0,1
8080,Kragenbärenhut (unbegrenzt),0,0,1
8081,Eisbärenhut (unbegrenzt),0,0,1
8082,Teddybärenhut (unbegrenzt),0,0,1
665,Frühlingshanbok (7 Tage),0,0,1
666,Frühlingshanbok (30 Tage),0,0,1
667,Frühlingshanbok (unbegrenzt),0,0,1
668,Regenbogenhanbok (7 Tage),0,0,1
669,Regenbogenhanbok (30 Tage),0,0,1
670,Regenbogenhanbok (unbegrenzt),0,0,1
671,Sommerhanbok (7 Tage),0,0,1
672,Sommerhanbok (30 Tage),0,0,1
673,Sommerhanbok (unbegrenzt),0,0,1
674,Kung-Fu-Chipao (7 Tage),0,0,1
675,Kung-Fu-Chipao (30 Tage),0,0,1
676,Kung-Fu-Chipao (unbegrenzt),0,0,1
677,Kaiserchipao (7 Tage),0,0,1
678,Kaiserchipao (30 Tage),0,0,1
679,Kaiserchipao (unbegrenzt),0,0,1
680,Drachenchipao (7 Tage),0,0,1
681,Drachenchipao (30 Tage),0,0,1
682,Drachenchipao (unbegrenzt),0,0,1
683,Mondlichtkimono (7 Tage),0,0,1
684,Mondlichtkimono (30 Tage),0,0,1
685,Mondlichtkimono (unbegrenzt),0,0,1
686,Sonnenlichtkimono (7 Tage),0,0,1
687,Sonnenlichtkimono (30 Tage),0,0,1
688,Sonnenlichtkimono (unbegrenzt),0,0,1
689,Tatamikimono (7 Tage),0,0,1
690,Tatamikimono (30 Tage),0,0,1
691,Tatamikimono (unbegrenzt),0,0,1
692,Feuerrosenkostüm (7 Tage),0,0,1
693,Feuerrosenkostüm (30 Tage),0,0,1
694,Feuerrosenkostüm (unbegrenzt),0,0,1
695,Pfefferminzkostüm (7 Tage),0,0,1
696,Pfefferminzkostüm (30 Tage),0,0,1
697,Pfefferminzkostüm (unbegrenzt),0,0,1
698,Schokoladenkostüm (7 Tage),0,0,1
699,Schokoladenkostüm (30 Tage),0,0,1
700,Leichte Handschuhe,0,0,1
701,Seidenhandschuhe,0,0,1
702,Magische Handschuhe,0,0,1
703,Helle Handschuhe,0,0,1
704,Schnelle Handschuhe,0,0,1
705,Kampfhandschuhe,0,0,1
706,Kettenhandschuhe,0,0,1
707,Blitzhandschuhe,0,0,1
708,Leichte Stiefel,0,0,1
709,Schnelle Schuhe,1,0,1
710,Kettenstiefel,0,0,1
711,Lederstiefel,0,0,1
712,Stahlstiefel,0,0,1
713,Schutzstiefel,0,0,1
714,Windstiefel,0,0,1
715,Schwere Metallstiefel,0,0,1
716,Topfhandschuhe,0,0,1
717,Glänzende Handschuhe,0,0,1
718,Handschuhe des Windes,0,0,1
719,Handschuhe der Resistenz,0,0,1
720,Handschuhe des Schattens,0,0,1
721,Schwarze Schuhe,0,0,1
722,Wasserschuhe,0,0,1
723,Punkstiefel,0,0,1
724,Flammenstiefel,0,0,1
725,Stiefel der tiefen See,0,0,1
726,Schokoladenkostüm (unbegrenzt),0,0,1
727,Azaleenhanbok (7 Tage),0,0,1
728,Azaleenhanbok (30 Tage),0,0,1
729,Azaleenhanbok (unbegrenzt),0,0,1
730,Krokushanbok (7 Tage),0,0,1
731,Krokushanbok (30 Tage),0,0,1
732,Krokushanbok (unbegrenzt),0,0,1
733,Rosenhanbok (7 Tage),0,0,1
734,Rosenhanbok (30 Tage),0,0,1
735,Rosenhanbok (unbegrenzt),0,0,1
736,Lavendelchipao (7 Tage),0,0,1
737,Lavendelchipao (30 Tage),0,0,1
738,Lavendelchipao (unbegrenzt),0,0,1
739,Phoenixchipao (7 Tage),0,0,1
740,Phoenixchipao (30 Tage),0,0,1
741,Phoenixchipao (unbegrenzt),0,0,1
742,Schwarzer Chipao (7 Tage),0,0,1
743,Schwarzer Chipao (30 Tage),0,0,1
744,Schwarzer Chipao (unbegrenzt),0,0,1
745,Kirschblütenkimono (7 Tage),0,0,1
746,Kirschblütenkimono (30 Tage),0,0,1
747,Kirschblütenkimono (unbegrenzt),0,0,1
748,Lilienkimono (7 Tage),0,0,1
749,Lilienkimono (30 Tage),0,0,1
750,Lilienkimono (unbegrenzt),0,0,1
751,Kunoichikimono (7 Tage),0,0,1
